timeStamp,elapsed,responseCode,threadName,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686603445116,596,200,Grupo de Usuários 1-178,text,590,1,0,0,322
1686603445370,342,200,Grupo de Usuários 1-38,text,332,1,0,0,0
1686603445311,390,200,Grupo de Usuários 1-185,text,390,1,0,0,0
1686603445564,277,200,Grupo de Usuários 1-153,text,262,1,0,0,0
1686603445570,277,200,Grupo de Usuários 1-188,text,262,1,0,0,0
1686603445486,397,200,Grupo de Usuários 1-133,text,385,1,0,0,0
1686603445597,286,200,Grupo de Usuários 1-156,text,268,1,0,0,0
1686603445562,349,200,Grupo de Usuários 1-190,text,330,1,0,0,0
1686603445729,260,200,Grupo de Usuários 1-40,text,250,1,0,0,0
1686603445457,616,200,Grupo de Usuários 1-179,text,603,1,0,0,327
1686603445772,329,200,Grupo de Usuários 1-42,text,319,1,0,0,0
1686603445810,298,200,Grupo de Usuários 1-137,text,291,1,0,0,0
1686603445521,638,200,Grupo de Usuários 1-183,text,632,1,0,0,321
1686603445868,394,200,Grupo de Usuários 1-141,text,387,1,0,0,0
1686603445868,380,200,Grupo de Usuários 1-140,text,365,1,0,0,0
1686603445981,296,200,Grupo de Usuários 1-162,text,274,1,0,0,0
1686603445841,407,200,Grupo de Usuários 1-159,text,392,1,0,0,0
1686603445865,368,200,Grupo de Usuários 1-161,text,350,1,0,0,0
1686603445917,298,200,Grupo de Usuários 1-187,text,289,1,0,0,0
1686603445921,265,200,Grupo de Usuários 1-195,text,259,1,0,0,0
1686603445998,279,200,Grupo de Usuários 1-199,text,264,1,0,0,0
1686603445866,420,200,Grupo de Usuários 1-155,text,396,1,0,0,0
1686603445985,326,200,Grupo de Usuários 1-160,text,311,1,0,0,0
1686603445683,628,200,Grupo de Usuários 1-180,text,620,1,0,0,345
1686603445953,374,200,Grupo de Usuários 1-139,text,365,1,0,0,0
1686603446038,307,200,Grupo de Usuários 1-193,text,300,1,0,0,0
1686603445830,515,200,Grupo de Usuários 1-136,text,502,1,0,0,0
1686603445826,525,200,Grupo de Usuários 1-191,text,512,1,0,0,0
1686603446118,287,200,Grupo de Usuários 1-192,text,281,1,0,0,0
1686603446247,267,200,Grupo de Usuários 1-164,text,253,1,0,0,0
1686603446257,292,200,Grupo de Usuários 1-143,text,279,1,0,0,0
1686603446187,362,200,Grupo de Usuários 1-147,text,349,1,0,0,0
1686603445904,645,200,Grupo de Usuários 1-181,text,632,1,0,0,318
1686603446320,313,200,Grupo de Usuários 1-165,text,313,1,0,0,0
1686603446369,264,200,Grupo de Usuários 1-157,text,264,1,0,0,0
